"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010658","striated muscle cell apoptotic process","15/6781","55/17403",0.272727272727273,0.699936989717258,-1.78078875946375,0.974842844968916,1,0.889807299706219,"GNGT1/CAPN2/LTK/CAMK2D/NRG1/CAMK2A/TIGAR/HSP90AA1/SMAD4/NOTCH1/CFLAR/NOL3/HSF1/NACA/HAND2",15
"GO:0010719","negative regulation of epithelial to mesenchymal transition","15/6781","55/17403",0.272727272727273,0.699936989717258,-1.78078875946375,0.974842844968916,1,0.889807299706219,"SMAD7/TGFB2/BMP5/SFRP1/VEGFA/DAB2IP/USF3/SPRED3/PTEN/MAD2L2/MIR142/VASN/SPRED2/MIR149/GSK3B",15
"GO:0009953","dorsal/ventral pattern formation","27/6781","91/17403",0.296703296703297,0.761469911890204,-1.82277703728931,0.974908503564075,1,0.889807299706219,"MDFI/GREM2/TGIF1/ACVRL1/DMRT3/SP8/SFRP1/PAX6/SOSTDC1/DSCAML1/TULP3/CTNNB1/PSEN1/SHH/IFT52/NBL1/WNT3/ARL13B/HHIP/FBXL15/ACVR1/ASCL1/SMAD6/SMAD2/AIDA/TLL1/CXXC4",27
"GO:0010659","cardiac muscle cell apoptotic process","14/6781","52/17403",0.269230769230769,0.690963438567037,-1.78316932925899,0.975318946886503,1,0.889807299706219,"GNGT1/CAPN2/LTK/CAMK2D/NRG1/CAMK2A/TIGAR/HSP90AA1/SMAD4/NOTCH1/CFLAR/NOL3/HSF1/HAND2",14
"GO:0001945","lymph vessel development","8/6781","33/17403",0.242424242424242,0.622166213082007,-1.73580588972996,0.975479017357733,1,0.889807299706219,"PDPN/ACVRL1/VEGFA/SVEP1/CCBE1/KDR/PTPN14/PROX1",8
"GO:0032891","negative regulation of organic acid transport","5/6781","23/17403",0.217391304347826,0.557920788905061,-1.69504967574967,0.976070508777802,1,0.889807299706219,"ACSL4/GABBR1/RGS4/SLC43A2/SLC43A1",5
"GO:0042659","regulation of cell fate specification","5/6781","23/17403",0.217391304347826,0.557920788905061,-1.69504967574967,0.976070508777802,1,0.889807299706219,"MESP1/HDAC2/CHD4/MTA2/RBBP7",5
"GO:0044804","nucleophagy","5/6781","23/17403",0.217391304347826,0.557920788905061,-1.69504967574967,0.976070508777802,1,0.889807299706219,"ATG9B/ULK3/ATG4D/ATG4A/SNX7",5
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/6781","23/17403",0.217391304347826,0.557920788905061,-1.69504967574967,0.976070508777802,1,0.889807299706219,"MUL1/OAS1/SMIM30/OAS3/MMP12",5
"GO:0006376","mRNA splice site recognition","12/6781","46/17403",0.260869565217391,0.669504946686073,-1.7932872200807,0.976669116318309,1,0.889807299706219,"SRSF5/SNRPC/CELF6/SRSF1/CELF4/SRSF10/LUC7L2/KHDC4/NOL3/SF3A2/SF3A3/PUF60",12
"GO:0003163","sinoatrial node development","2/6781","12/17403",0.166666666666667,0.42773927149388,-1.58440277610658,0.976885457101354,1,0.889807299706219,"MESP1/ISL1",2
"GO:0006283","transcription-coupled nucleotide-excision repair","2/6781","12/17403",0.166666666666667,0.42773927149388,-1.58440277610658,0.976885457101354,1,0.889807299706219,"ERCC3/ERCC2",2
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","2/6781","12/17403",0.166666666666667,0.42773927149388,-1.58440277610658,0.976885457101354,1,0.889807299706219,"SRPRB/BHLHE40-AS1",2
