"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","33/3495","86/8362",0.383720930232558,0.918075656253119,-0.647103851073393,0.774626410199037,0.961052910777526,0.876558426396966,"1675/5328/2149/730/5054/3426/3818/629/624/2162/10747/733/623/5270/1380/2155/717/2161/4179/2151/3827/5327/5329/2153/1604/712/10544/1191/3075/725/10877/3687/714",33
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","25/3495","66/8362",0.378787878787879,0.90627303073655,-0.647775023447726,0.779332190435115,0.961052910777526,0.876558426396966,"54884/125/5959/54905/124/1576/126/54575/54576/54657/54600/54577/54658/10170/51109/54578/220/79799/130/10901/157506/216/340665/53630/29785",25
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","21/3495","56/8362",0.375,0.897210300429185,-0.653987843286729,0.784267826766701,0.961052910777526,0.876558426396966,"3576/840/3553/3329/3569/2920/929/3312/3606/7415/2921/1917/10767/51128/3297/23786/2919/842/81876/56681/4792",21
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","40/3495","104/8362",0.384615384615385,0.920215692747882,-0.693775146063237,0.785710127779844,0.961052910777526,0.876558426396966,"84803/375775/23171/8611/54979/81544/8613/43/1120/1606/9926/9791/51365/5337/154141/8525/254531/1103/26279/79888/1609/160851/10434/1119/8399/8398/54947/11145/56261/9663/56994/128966744/123745/10400/56985/137964/255189/85465/23175/8527",40
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","38/3495","99/8362",0.383838383838384,0.918356671146371,-0.692454837346457,0.786027690897944,0.961052910777526,0.876558426396966,"782/7171/6641/6547/8516/284217/3673/7042/3569/6445/59283/3695/22801/3685/51422/489/59285/6442/8082/9254/776/3696/183/2010/5563/3678/93589/3675/4634/3908/3672/3655/778/775/7137/70/783/3479",38
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","79/3495","201/8362",0.393034825870647,0.940359717862761,-0.725250534757743,0.787037212440947,0.961052910777526,0.876558426396966,"5366/8360/1030/595/85477/1017/1019/5933/8850/5423/5595/387332/1111/84699/983/7188/27044/2934/3066/9114/1026/9734/9134/5567/890/7532/5902/898/5293/6502/1237/2648/5925/1108/10014/5315/87/572/245972/440689/9093/3190/5610/8379/7186/55869/3845/991/1232/2965/4067/3107/998/51564/578/8341/2885/3572/8503/3133/2960/2968/5296/4792/3105/55697/2967/1029/2961/3716/3135/5829/8361/7534/5879/3134/1642/5934/9519",79
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","98/3495","248/8362",0.395161290322581,0.945447413355485,-0.739002172487947,0.789046281859958,0.961052910777526,0.876558426396966,"54106/1434/596/3576/8767/5420/83547/840/10382/3326/79861/3798/3553/5595/3800/3839/3569/8743/57180/382/4609/9267/8976/197259/79026/51176/10381/3799/203068/147700/838/5294/81873/6934/5293/1499/89953/5602/929/10333/84790/9367/6932/8795/6416/3654/8737/63916/5869/10095/3606/5605/127829/3320/23265/5286/7132/1785/25828/9842/64837/5289/391/27128/51143/8797/7186/5894/2353/5608/399/10376/837/3071/11035/103910/4636/3840/3836/998/329/578/10787/2597/7184/83658/23339/4792/26263/10627/5788/6188/5898/60412/23118/257364/5879/83439",98
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","15/3495","41/8362",0.365853658536585,0.875327122369936,-0.678106925315941,0.797766698644237,0.968201402373575,0.883078432188817,"84649/38/948/8611/2168/8613/2169/80168/29881/26279/1056/8399/19/4547/1208",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","142/3495","357/8362",0.397759103641457,0.951662839670918,-0.790963789433678,0.800949021314943,0.968201402373575,0.883078432188817,"9340/2922/5745/5023/1902/2908/2906/5734/5025/8862/2357/10316/5028/3363/9934/7442/2899/7068/5368/2149/1907/1909/1908/6753/1268/64106/5021/22953/5697/27346/6750/4828/2904/5729/2562/286530/2565/2641/5732/7425/2894/153/2897/3814/624/2893/154/116443/2563/4887/6866/140/2564/2796/7433/6344/2690/623/1511/2902/150/27334/2900/2358/6752/1269/1132/100996758/9127/6751/183/5367/10800/100506013/1141/1138/2892/5617/5029/84539/2696/7432/553/135/3352/11054/90226/2550/1903/2151/4852/5540/3827/3001/5030/117/114131/2901/2903/1910/3360/1134/4987/2642/66004/151/148/886/5645/796/2566/2570/10022/8698/155/1133/5026/10874/2743/1139/51083/10203/3953/2918/23566/2150/4886/256933/185/3362/4986/2891/57105/53829/1128/7253/2688/2568/2587/5027/4543/10424",142
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","29/3495","77/8362",0.376623376623377,0.90109432770377,-0.738826278846314,0.803167072423534,0.968201402373575,0.883078432188817,"57030/6844/90423/9296/6804/6505/246213/9550/9114/773/51382/6536/528/6530/245973/51606/245972/6534/774/6812/1785/50617/6616/1212/10815/10814/6572/5864/2054",29
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","23/3495","62/8362",0.370967741935484,0.887562877843925,-0.752988855342173,0.810685804815654,0.96985085579552,0.884582867875698,"3714/8850/6868/3066/388585/4854/8650/55534/2648/5663/4242/4855/23462/26508/4853/4851/3955/1840/441478/7090/7091/23220/28514",23
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","8/3495","23/8362",0.347826086956522,0.832195061267649,-0.682863183327459,0.81362723748662,0.96985085579552,0.884582867875698,"790/84706/2875/4846/27165/2805/162417/5009",8
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","19/3495","52/8362",0.365384615384615,0.874204908110487,-0.771057711982807,0.818737826161492,0.96985085579552,0.884582867875698,"9388/9218/948/3990/8647/83930/255738/3949/9217/4036/55908/26119/6272/19/344/1593/4043/10577/6770",19
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","24/3495","65/8362",0.369230769230769,0.883407065037966,-0.799632425612836,0.822455107245458,0.96985085579552,0.884582867875698,"2767/5595/6696/408/2852/5579/2100/3814/2796/5293/776/2550/5605/2776/23236/5894/3845/5330/778/8503/5296/775/5332/3782",24
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","62/3495","161/8362",0.385093167701863,0.92135881783204,-0.853791042423897,0.824829253684124,0.96985085579552,0.884582867875698,"3576/1019/3838/8480/29107/3553/6352/5595/6041/7098/3569/8743/3627/5579/23430/10241/7177/64499/4928/7514/355/5293/3383/1965/3112/8795/3606/637/5605/79671/51284/7132/10898/7113/8797/5610/5894/5645/3552/4938/3836/4940/578/3115/292/8503/842/2224/148022/5296/4792/5371/4600/3111/3117/3716/3113/291/356/6772/23586/90865",62
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","74/3495","191/8362",0.387434554973822,0.926960729239227,-0.865281733138441,0.82614613647568,0.96985085579552,0.884582867875698,"51645/9128/55110/23450/6430/57819/6635/22916/6636/6631/6633/6637/55660/51690/23658/988/9343/6632/3183/642659/144983/199746/2521/3178/220988/51691/6628/10465/10915/56259/10189/80145/6428/3312/3192/27316/27339/51634/24148/6629/8896/6627/3190/6426/84321/6432/10772/57187/6100/51639/10713/4686/8175/23350/392517/9410/4670/25804/6626/9129/10523/23020/84844/7919/10285/79228/10946/51340/1659/1665/7307/22827/51503/25766",74
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","9/3495","26/8362",0.346153846153846,0.828194123473093,-0.743477558682986,0.826629139984622,0.96985085579552,0.884582867875698,"3651/2494/168620/5080/4760/50674/3087/222546/5078",9
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","46/3495","121/8362",0.380165289256198,0.909568569030138,-0.849071297162395,0.826733423862911,0.96985085579552,0.884582867875698,"1019/5523/5595/6655/7535/925/916/27040/5293/5521/5602/3558/917/9402/7409/5516/926/5781/919/5605/959/5062/5525/5894/915/3845/2353/8915/3702/5335/998/9020/4690/2885/5529/8503/4794/5296/4792/3932/920/5788/5535/2534/2932/10125",46
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","40/3495","106/8362",0.377358490566038,0.902853132507356,-0.852940861403051,0.829332692029692,0.96985085579552,0.884582867875698,"32/1374/10891/84699/31/817/92579/801/2641/5105/5567/51422/3276/815/3939/816/92483/5315/91860/5106/5563/3945/2776/2642/23236/5213/805/5837/808/5330/5465/2308/6513/57818/2538/1375/126129/5332/5535/5211",40
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","51/3495","134/8362",0.380597014925373,0.910601498943053,-0.884010703343851,0.834493128805792,0.972654242846486,0.887139784892877,"115/2767/111/10672/5595/1907/1909/1908/5579/801/5567/112/109/5500/776/183/26279/553/135/91860/9826/5605/2977/8399/2776/10242/5580/23236/8398/3778/148/5894/805/10267/796/808/5330/5581/4628/123745/4638/778/369/10203/775/113/255189/185/5332/5583/2983",51
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","46/3495","122/8362",0.377049180327869,0.90211308895612,-0.922917672348774,0.845096233690119,0.981761961250568,0.8954467648966,"32/1149/595/5523/948/6319/1374/10891/2194/84699/6009/31/92579/5105/1978/1994/51719/890/51422/55437/5293/5521/5209/5516/9370/5106/5563/5525/5213/148/5468/2308/5529/8503/5296/57818/3643/10645/2538/3953/1375/29904/126129/92335/5211/3479",46
